,0,1
0,"[10, 1, 10, 500, 0]",37.629415015912265
1,"[10, 1, 20, 500, 0]",37.76774611496336
2,"[10, 1, 30, 500, 0]",38.281973376664645
3,"[10, 1, 16, 500, 0]",37.47298085773697
4,"[10, 2, 10, 500, 0]",37.75776012845759
5,"[10, 2, 20, 500, 0]",37.8462853280582
6,"[10, 2, 30, 500, 0]",37.776620691985876
7,"[10, 2, 16, 500, 0]",37.76937565727894
8,"[10, 8, 10, 500, 0]",37.884121125481265
9,"[10, 8, 20, 500, 0]",37.6711852237585
10,"[10, 8, 30, 500, 0]",37.785404778441176
11,"[10, 8, 16, 500, 0]",37.83873097761271
