,0,1
0,"[3, 1, 10, 50, 0]",43.13442526631376
1,"[3, 1, 10, 50, 0.1]",49.392389342449064
2,"[3, 1, 10, 50, 0.2]",66.47930345744508
3,"[3, 1, 10, 50, 0.3]",78.17041795332544
4,"[3, 1, 10, 100, 0]",42.74864163987877
5,"[3, 1, 10, 100, 0.1]",49.13671401431693
6,"[3, 1, 10, 100, 0.2]",63.629159680230856
7,"[3, 1, 10, 100, 0.3]",84.14146746953463
8,"[3, 1, 20, 50, 0]",43.11787538976305
9,"[3, 1, 20, 50, 0.1]",51.637646296242025
10,"[3, 1, 20, 50, 0.2]",63.04832469039595
11,"[3, 1, 20, 50, 0.3]",70.43745970627248
12,"[3, 1, 20, 100, 0]",43.05459610349133
13,"[3, 1, 20, 100, 0.1]",44.54276465648116
14,"[3, 1, 20, 100, 0.2]",65.64814566133124
15,"[3, 1, 20, 100, 0.3]",61.844051008646545
16,"[3, 1, 30, 50, 0]",42.72935519853562
17,"[3, 1, 30, 50, 0.1]",47.556000066204284
18,"[3, 1, 30, 50, 0.2]",56.250752262870684
19,"[3, 1, 30, 50, 0.3]",61.80749270874902
20,"[3, 1, 30, 100, 0]",43.468900511806375
21,"[3, 1, 30, 100, 0.1]",45.78179327253009
22,"[3, 1, 30, 100, 0.2]",57.45506740978317
23,"[3, 1, 30, 100, 0.3]",64.31934122397945
24,"[3, 2, 10, 50, 0]",42.836022264464695
25,"[3, 2, 10, 50, 0.1]",60.09953138049377
26,"[3, 2, 10, 50, 0.2]",84.97408724184929
27,"[3, 2, 10, 50, 0.3]",114.08248780664219
28,"[3, 2, 10, 100, 0]",42.651826135527706
29,"[3, 2, 10, 100, 0.1]",57.79774978692945
30,"[3, 2, 10, 100, 0.2]",87.90265853338916
31,"[3, 2, 10, 100, 0.3]",112.65254397990957
32,"[3, 2, 20, 50, 0]",43.127516817104556
33,"[3, 2, 20, 50, 0.1]",57.49218396570914
34,"[3, 2, 20, 50, 0.2]",83.14307993699641
35,"[3, 2, 20, 50, 0.3]",106.25675876505994
36,"[3, 2, 20, 100, 0]",42.692536972401605
37,"[3, 2, 20, 100, 0.1]",58.50599042063192
38,"[3, 2, 20, 100, 0.2]",91.01360414227224
39,"[3, 2, 20, 100, 0.3]",101.93890663548909
40,"[3, 2, 30, 50, 0]",43.155821442727095
41,"[3, 2, 30, 50, 0.1]",63.7222895107534
42,"[3, 2, 30, 50, 0.2]",87.65214648758149
43,"[3, 2, 30, 50, 0.3]",104.7646229226677
44,"[3, 2, 30, 100, 0]",43.22932300697973
45,"[3, 2, 30, 100, 0.1]",61.466756575304515
46,"[3, 2, 30, 100, 0.2]",80.4675026314617
47,"[3, 2, 30, 100, 0.3]",100.97114076790274
48,"[5, 1, 10, 50, 0]",42.28316426774901
49,"[5, 1, 10, 50, 0.1]",51.06953824798097
50,"[5, 1, 10, 50, 0.2]",61.44870266572509
51,"[5, 1, 10, 50, 0.3]",79.58652289923417
52,"[5, 1, 10, 100, 0]",42.3536014859441
53,"[5, 1, 10, 100, 0.1]",48.50636870584072
54,"[5, 1, 10, 100, 0.2]",64.93605787357161
55,"[5, 1, 10, 100, 0.3]",77.21095720748797
56,"[5, 1, 20, 50, 0]",42.38567928596722
57,"[5, 1, 20, 50, 0.1]",49.74526553924638
58,"[5, 1, 20, 50, 0.2]",57.55244605410433
59,"[5, 1, 20, 50, 0.3]",73.557239531406
60,"[5, 1, 20, 100, 0]",42.63448301689325
61,"[5, 1, 20, 100, 0.1]",46.32111800658535
62,"[5, 1, 20, 100, 0.2]",60.74524375544835
63,"[5, 1, 20, 100, 0.3]",69.59437743223737
64,"[5, 1, 30, 50, 0]",42.86051300110379
65,"[5, 1, 30, 50, 0.1]",51.27604750417342
66,"[5, 1, 30, 50, 0.2]",58.20842426879011
67,"[5, 1, 30, 50, 0.3]",59.973255625872945
68,"[5, 1, 30, 100, 0]",42.60189681762325
69,"[5, 1, 30, 100, 0.1]",48.74321648416861
70,"[5, 1, 30, 100, 0.2]",55.89210662188831
71,"[5, 1, 30, 100, 0.3]",68.6241796944258
72,"[5, 2, 10, 50, 0]",42.39403462769716
73,"[5, 2, 10, 50, 0.1]",61.215353476438736
74,"[5, 2, 10, 50, 0.2]",88.57827379166015
75,"[5, 2, 10, 50, 0.3]",112.4910974658399
76,"[5, 2, 10, 100, 0]",42.76952624936172
77,"[5, 2, 10, 100, 0.1]",61.79552207572912
78,"[5, 2, 10, 100, 0.2]",91.629465348829
79,"[5, 2, 10, 100, 0.3]",120.92351014221875
80,"[5, 2, 20, 50, 0]",42.58566181070163
81,"[5, 2, 20, 50, 0.1]",56.934765003697116
82,"[5, 2, 20, 50, 0.2]",89.16322867223676
83,"[5, 2, 20, 50, 0.3]",111.37488768255194
84,"[5, 2, 20, 100, 0]",42.27622537216532
85,"[5, 2, 20, 100, 0.1]",60.57561112320803
86,"[5, 2, 20, 100, 0.2]",86.16524457701392
87,"[5, 2, 20, 100, 0.3]",109.43762243515111
88,"[5, 2, 30, 50, 0]",42.77567183172161
89,"[5, 2, 30, 50, 0.1]",62.98145905951322
90,"[5, 2, 30, 50, 0.2]",86.60735067387947
91,"[5, 2, 30, 50, 0.3]",108.42521104666821
92,"[5, 2, 30, 100, 0]",43.47913999895039
93,"[5, 2, 30, 100, 0.1]",56.11301940993243
94,"[5, 2, 30, 100, 0.2]",86.82504640211162
95,"[5, 2, 30, 100, 0.3]",92.88128631721406
